# TEMPLATE GOOGLE SHEETS POUR TICKETHUB
# Copiez les lignes ci-dessous dans votre Google Sheet

event_id,event_name,category,venue,city,date,time,image_url,league,trending,section,row,seats,price
drake-paris-2026,Drake,Concert,Accor Arena,Paris,2026-03-15,20:00,https://images.unsplash.com/photo-1540039155733-5bb30b53aa14?w=800&q=80,,TRUE,Carré Or,A,12-13,350
drake-paris-2026,Drake,Concert,Accor Arena,Paris,2026-03-15,20:00,https://images.unsplash.com/photo-1540039155733-5bb30b53aa14?w=800&q=80,,TRUE,Carré Or,B,5-6,320
drake-paris-2026,Drake,Concert,Accor Arena,Paris,2026-03-15,20:00,https://images.unsplash.com/photo-1540039155733-5bb30b53aa14?w=800&q=80,,TRUE,Gradin Latéral,K,18-19-20,150
drake-paris-2026,Drake,Concert,Accor Arena,Paris,2026-03-15,20:00,https://images.unsplash.com/photo-1540039155733-5bb30b53aa14?w=800&q=80,,TRUE,Fosse Debout,GA,1,89
bruno-mars-lyon-2026,Bruno Mars,Concert,Halle Tony Garnier,Lyon,2026-04-22,21:00,https://images.unsplash.com/photo-1501612780327-45045538702b?w=800&q=80,,TRUE,VIP,C,1-2,450
bruno-mars-lyon-2026,Bruno Mars,Concert,Halle Tony Garnier,Lyon,2026-04-22,21:00,https://images.unsplash.com/photo-1501612780327-45045538702b?w=800&q=80,,TRUE,Parterre,H,14-15,220
bruno-mars-lyon-2026,Bruno Mars,Concert,Halle Tony Garnier,Lyon,2026-04-22,21:00,https://images.unsplash.com/photo-1501612780327-45045538702b?w=800&q=80,,TRUE,Balcon,P,22-23-24,140
bruno-mars-lyon-2026,Bruno Mars,Concert,Halle Tony Garnier,Lyon,2026-04-22,21:00,https://images.unsplash.com/photo-1501612780327-45045538702b?w=800&q=80,,TRUE,Fosse,GA,2,75
psg-marseille-2026,PSG vs Marseille,Sport,Parc des Princes,Paris,2026-02-28,21:00,https://images.unsplash.com/photo-1574629810360-7efbbe195018?w=800&q=80,Ligue 1,TRUE,Tribune Présidentielle,E,8-9,650
psg-marseille-2026,PSG vs Marseille,Sport,Parc des Princes,Paris,2026-02-28,21:00,https://images.unsplash.com/photo-1574629810360-7efbbe195018?w=800&q=80,Ligue 1,TRUE,Tribune Auteuil,K,24-25-26,280
psg-marseille-2026,PSG vs Marseille,Sport,Parc des Princes,Paris,2026-02-28,21:00,https://images.unsplash.com/photo-1574629810360-7efbbe195018?w=800&q=80,Ligue 1,TRUE,Tribune Boulogne,N,18-19,220
psg-marseille-2026,PSG vs Marseille,Sport,Parc des Princes,Paris,2026-02-28,21:00,https://images.unsplash.com/photo-1574629810360-7efbbe195018?w=800&q=80,Ligue 1,TRUE,Virage Supérieur,T,45-46-47-48,120
roland-garros-finale-2026,Roland Garros - Finale Hommes,Sport,Court Philippe-Chatrier,Paris,2026-06-07,15:00,https://images.unsplash.com/photo-1554068865-24cecd4e34b8?w=800&q=80,Grand Slam,TRUE,Loge VIP,Box A,1-2-3-4,1850
roland-garros-finale-2026,Roland Garros - Finale Hommes,Sport,Court Philippe-Chatrier,Paris,2026-06-07,15:00,https://images.unsplash.com/photo-1554068865-24cecd4e34b8?w=800&q=80,Grand Slam,TRUE,Catégorie 1,F,18-19,650
roland-garros-finale-2026,Roland Garros - Finale Hommes,Sport,Court Philippe-Chatrier,Paris,2026-06-07,15:00,https://images.unsplash.com/photo-1554068865-24cecd4e34b8?w=800&q=80,Grand Slam,TRUE,Catégorie 2,N,24-25-26,420
roland-garros-finale-2026,Roland Garros - Finale Hommes,Sport,Court Philippe-Chatrier,Paris,2026-06-07,15:00,https://images.unsplash.com/photo-1554068865-24cecd4e34b8?w=800&q=80,Grand Slam,TRUE,Catégorie 3,T,38-39,250

# INSTRUCTIONS :
# 1. Créez un nouveau Google Sheet
# 2. Copiez toutes les lignes ci-dessus (en-tête inclus) dans votre Sheet
# 3. Fichier > Partager > Publier sur le Web
# 4. Choisissez "Feuille 1" et format "CSV"
# 5. Cliquez sur "Publier"
# 6. Copiez l'URL générée
# 7. Collez l'URL dans le fichier sheets-loader.js à la ligne : const GOOGLE_SHEET_URL = 'VOTRE_URL_ICI';

# COLONNES EXPLIQUÉES :
# - event_id : ID unique de l'événement (pas d'espaces, minuscules-tirets)
# - event_name : Nom de l'événement (affiché sur le site)
# - category : "Concert" ou "Sport"
# - venue : Nom de la salle/stade
# - city : Ville
# - date : Format YYYY-MM-DD (ex: 2026-03-15)
# - time : Format HH:MM (ex: 20:00)
# - image_url : URL de l'image (Unsplash, Imgur, ou votre image)
# - league : Compétition (seulement pour Sport, laissez vide pour Concert)
# - trending : TRUE pour afficher dans "Dernières places", FALSE sinon
# - section : Section du ticket (ex: VIP, Parterre, Tribune)
# - row : Rangée (ex: A, K, GA pour General Admission)
# - seats : Numéros des sièges (ex: 12-13, 1-2-3-4)
# - price : Prix en euros (nombre entier, sans symbole)

# IMPORTANT :
# - Chaque ligne = 1 ticket
# - Plusieurs lignes avec le même event_id = plusieurs tickets pour le même événement
# - Le prix minimum est calculé automatiquement
# - Après modification, le site se met à jour en 30 secondes max !
